CORES;QUANTUM;ÚLTIMO TICK;TIEMPO ESPERA PROMEDIO;TIEMPO ESPERA MÁXIMO;EFICIENCIA EN USO DE CPU (%)
2;3;890,242;655,135;787,068;43,6659
2;5;798,146;569,992;700,746;48,6914
2;7;761,166;532,594;667,958;51,0582
2;9;739,888;510,636;648,62;52,5276
2;11;728,624;502,549;639,462;53,3431
2;13;722,502;496,303;634,056;53,7981
2;15;716,204;488,431;627,646;54,27
2;17;713,504;485,838;625,88;54,4765
2;19;711,948;484,831;625,43;54,5968
2;21;711,496;485,187;625,12;54,6315
2;23;711,346;483,462;625,196;54,6459
2;25;710,534;484,218;624,062;54,7055
2;27;711,26;484,205;625,526;54,6523
2;29;709,422;481,778;623,638;54,795
2;31;709,674;485,224;624,148;54,775
2;33;707,684;480,645;621,768;54,926
2;35;709,486;481,735;623,148;54,787
2;37;708,994;482,432;623,1;54,8259
2;39;710,706;485,872;624,634;54,6947
2;41;709,362;480,213;623,38;54,7978
2;43;709,422;482,751;623,21;54,7951
2;45;708,892;481,725;623,112;54,8376
2;47;710,06;481,994;623,678;54,744
2;49;708,266;479,283;621,874;54,8838
2;51;709,284;481,361;623,166;54,8022
2;53;709,832;481,402;623,572;54,759
2;55;710,088;483,609;624,46;54,7434
2;57;708,726;481,291;622;54,8487
2;59;708,282;481,694;623,082;54,8806
2;61;709,732;481,676;623,282;54,7669
2;63;709,012;479,711;623,176;54,8236
2;65;708,518;481,316;622,21;54,866
2;67;709,67;483,04;623,932;54,775
2;69;709,67;481,596;623,248;54,7742
2;71;708,6;483,137;622,546;54,8564
2;73;709,038;481,208;623,07;54,8265
2;75;710,156;482,532;623,644;54,7361
2;77;709,526;481,224;622,874;54,7866
2;79;710,128;483,611;624,316;54,7395
2;81;709,468;480,893;623,452;54,7897
2;83;709,412;482,129;623,014;54,7956
2;85;710,3;481,694;623,542;54,7228
2;87;708,122;483,032;621,788;54,8917
2;89;709,31;483,209;623,044;54,7984
2;91;710,172;482,103;624,412;54,7372
2;93;709,9;481,493;623,304;54,7603
2;95;709,66;483,058;624,308;54,7754
2;97;710,08;482,609;623,596;54,7422
2;99;710,674;483,235;623,74;54,699
4;1;646,054;470,278;535,018;30,0879
4;3;586,022;403,937;481,054;33,1551
4;5;550,844;367,986;450,442;35,2746
4;7;532,36;348,719;435,262;36,5005
4;9;522,932;338,897;427,474;37,1637
4;11;516,184;332,29;422,2;37,6488
4;13;513,888;329,383;420,572;37,819
4;15;511,9;327,304;419,194;37,9671
4;17;510,716;327,714;418,948;38,0569
4;19;510,334;327,598;418,058;38,0873
4;21;508,838;325,741;418,166;38,1982
4;23;509,774;325,73;418,036;38,126
4;25;509,858;325,647;418,188;38,123
4;27;509,03;325,974;418,26;38,1862
4;29;509,014;326,169;417,83;38,1849
4;31;510,294;326,116;418,694;38,0875
4;33;509,334;325,709;417,526;38,1584
4;35;508,292;325,49;417,874;38,2389
4;37;508,184;325,021;417,422;38,2481
4;39;509,118;327,323;417,99;38,1776
4;41;508,878;326,123;416,91;38,195
4;43;508,622;325,266;416,888;38,2186
4;45;507,552;324,67;416,968;38,2965
4;47;507,752;324,601;416,474;38,2806
4;49;508,562;324,969;417,152;38,218
4;51;508,732;324,877;416,814;38,205
4;53;509,706;326,71;418,46;38,1327
4;55;508,444;326,229;417,328;38,2295
4;57;508,812;325,861;417,772;38,1992
4;59;507,916;324,63;416,442;38,2688
4;61;509,864;326,205;418,026;38,1254
4;63;509,102;326,241;417,724;38,1805
4;65;509,6;325,179;416,992;38,1421
4;67;508,626;325,873;417,082;38,2132
4;69;508,15;325;416,266;38,2511
4;71;508,668;325,594;417,606;38,2128
4;73;508,766;326,646;417,292;38,204
4;75;508,614;326,713;417,292;38,2161
4;77;509,002;324,212;417,472;38,1864
4;79;509,822;327,18;419,034;38,125
4;81;508,874;325,296;416,888;38,1947
4;83;508,068;325,263;416,21;38,2565
4;85;508,468;325,221;417,346;38,226
4;87;509,528;326,773;418,178;38,1457
4;89;508,124;325,739;416,782;38,2505
4;91;509,454;326,326;418,594;38,1512
4;93;509,586;325,855;417,37;38,1427
4;95;509,486;325,216;417,698;38,1519
4;97;508,904;326,131;417,97;38,1939
4;99;509,58;325,952;417,966;38,1416
6;1;398,812;231,564;287,892;32,5205
6;3;386,134;215,262;278,956;33,5533
6;5;375,504;203,985;270,244;34,5024
6;7;370,102;199,32;268,132;35,009
6;9;366,764;195,787;265,66;35,33
6;11;366,254;194,667;265,288;35,3807
6;13;364,952;193,818;265,988;35,5119
6;15;364,724;193,114;265,494;35,5322
6;17;364,348;193,041;266,428;35,5703
6;19;364,33;192,753;265,634;35,5735
6;21;364,42;192,947;266,21;35,5624
6;23;363,788;192,662;266,034;35,6271
6;25;363,988;192,364;265,746;35,6068
6;27;363,406;192,635;265,784;35,6637
6;29;363,754;192,403;265,392;35,6284
6;31;362,886;192,666;265,448;35,7135
6;33;362,938;192,002;265,162;35,7098
6;35;364,308;192,892;266,106;35,5738
6;37;363,498;191,872;264,852;35,6582
6;39;363,166;191,803;265,55;35,683
6;41;363,922;192,47;265,252;35,6145
6;43;363,936;192,378;265,64;35,6136
6;45;364,17;192,323;266,022;35,5905
6;47;363,096;192,103;265,246;35,6977
6;49;362,716;191,784;264,878;35,734
6;51;364,264;193,09;265,976;35,5786
6;53;363,474;192,162;265,646;35,6573
6;55;364,362;192,514;266,038;35,5673
6;57;363,324;191,987;265,262;35,6715
6;59;363,976;192,158;265,566;35,6086
6;61;363,258;192,076;265,852;35,6819
6;63;364,004;192,513;265,534;35,6051
6;65;363,6;192,081;265,15;35,6479
6;67;363,52;192,574;265,266;35,6557
6;69;364,134;192,701;265,7;35,59
6;71;364,11;192,736;265,994;35,5917
6;73;363,892;192,44;265,83;35,6186
6;75;363,526;192,282;266,568;35,6525
6;77;363,32;192,173;265,2;35,6702
6;79;363,81;192,756;265,448;35,627
6;81;363,934;192,609;265,46;35,6079
6;83;363,676;192,19;265,482;35,6379
6;85;363,424;192,541;265,822;35,6614
6;87;363,992;192,107;265,696;35,6094
6;89;363,094;192,567;265,542;35,6958
6;91;364,394;192,459;265,694;35,5689
6;93;363,634;192,421;265,482;35,6409
6;95;363,758;192,246;265,75;35,6279
6;97;362,94;191,796;265,426;35,7102
6;99;364,186;193,075;266,21;35,5911
8;1;372,128;204,97;261,122;26,1076
8;3;335,572;175,115;227,522;28,9521
8;5;323,192;163,693;217,912;30,0648
8;7;317,384;158,236;212,736;30,617
8;9;313,156;154,457;209,794;31,033
8;11;310,7;152,376;207,838;31,2791
8;13;309,132;151,88;207,622;31,4405
8;15;307,922;150,76;206,592;31,5677
8;17;307,884;150,563;206,492;31,5727
8;19;307,632;150,724;206,456;31,5969
8;21;308,004;150,515;206,508;31,5602
8;23;308,022;150,413;206,24;31,5568
8;25;307,668;150,464;206,28;31,594
8;27;307,412;150,051;205,814;31,623
8;29;306,748;149,76;205,75;31,6893
8;31;308,062;150,235;206,446;31,5569
8;33;307,528;150,087;206,226;31,6098
8;35;305,884;150,2;206,098;31,7824
8;37;307,756;150,625;206,438;31,5888
8;39;307,508;150,054;206,074;31,6125
8;41;307,568;150,039;206,178;31,6082
8;43;306,666;150,106;205,856;31,6989
8;45;307,41;150,361;206,354;31,6221
8;47;306,71;149,748;206;31,6949
8;49;307,054;149,606;205,962;31,661
8;51;307,362;149,675;205,55;31,6266
8;53;307,796;150,338;206,712;31,582
8;55;307,718;150,297;206,372;31,5924
8;57;307,02;150,154;205,952;31,6641
8;59;307,248;150,333;206,434;31,6356
8;61;307,372;149,822;205,894;31,6238
8;63;306,898;149,525;205,292;31,6755
8;65;307,504;149,991;205,926;31,6129
8;67;307,33;150,23;206,2;31,6301
8;69;307,534;150,504;206,39;31,6126
8;71;306,982;149,855;206,104;31,6638
8;73;307,08;150,135;206,488;31,6568
8;75;306,75;149,872;206,264;31,6886
8;77;306,966;150,041;206,164;31,6652
8;79;307,526;150,85;206,732;31,609
8;81;306,974;150,247;206,216;31,6648
8;83;307,376;150,212;206,138;31,6243
8;85;307,526;150,052;206,214;31,6104
8;87;307,644;149,877;206,098;31,5976
8;89;306,782;149,844;206,13;31,6851
8;91;306,742;150,253;206,522;31,6893
8;93;307,456;150,158;206,05;31,6191
8;95;307,676;150,165;206,478;31,5972
8;97;306,86;149,541;205,712;31,677
8;99;307,754;150,032;206,312;31,5872
